origin_country_iso_code,destination_country_iso_code,scaling_factor
HUN,CZE,0.041666666666666664
HUN,DEU,0.02722323049001815
HUN,ISR,0.19047619047619047
HUN,NLD,0.03468208092485549
HUN,NOR,0.4166666666666667
HUN,RUS,0.033783783783783786
HUN,SWE,0.045454545454545456
HUN,ARE,0.03225806451612903
HUN,GBR,0.047520661157024795
ISL,CAN,0.2222222222222222
ISL,DEU,0.008771929824561403
ISL,SWE,0.14583333333333334
ISL,GBR,0.06770833333333333
ISL,USA,0.21161825726141079
IND,AUS,0.10714285714285714
IND,CHN,1
IND,FRA,0.1388888888888889
IND,DEU,0.21686746987951808
IND,HKG,0.5147058823529411
IND,ISR,0.3333333333333333
IND,MYS,0.014925373134328358
IND,NLD,0.4523809523809524
IND,QAT,0.013422818791946308
IND,RUS,0.016129032258064516
IND,SAU,0.05714285714285714
IND,SGP,0.09876543209876543
IND,KOR,0.13636363636363635
IND,CHE,0.14893617021276595
IND,THA,0.003236245954692557
IND,ARE,0.06432748538011696
IND,GBR,0.04797047970479705
IND,USA,0.5555555555555556
IDN,AUS,0.05263157894736842
IDN,HKG,1
IDN,IND,0.05263157894736842
IDN,JPN,0.32653061224489793
IDN,MYS,0.03676470588235294
IDN,SGP,1
IDN,KOR,0.17391304347826086
IDN,TWN,1
IDN,THA,0.06666666666666667
IDN,ARE,1
IRL,CAN,0.1836734693877551
IRL,CHN,0.5
IRL,FRA,0.02736318407960199
IRL,DEU,0.015957446808510637
IRL,ITA,0.004672897196261682
IRL,NLD,0.20982142857142858
IRL,ARE,0.13333333333333333
IRL,GBR,0.036898645492760396
IRL,USA,0.30019880715705766
ISR,AUT,0.35714285714285715
ISR,CAN,1
ISR,CYP,0.14285714285714285
ISR,FRA,0.5333333333333333
ISR,DEU,0.9230769230769231
ISR,HKG,0.6666666666666666
ISR,HUN,0.2857142857142857
ISR,NLD,0.4166666666666667
ISR,ESP,0.5
ISR,CHE,0.16666666666666666
ISR,GBR,1
ISR,USA,1
ITA,ARG,0.08823529411764706
ITA,BEL,0.2222222222222222
ITA,FRA,0.040863981319322826
ITA,DEU,0.061609549480169425
ITA,HKG,0.1935483870967742
ITA,IRL,0.007352941176470588
ITA,ISR,0.18518518518518517
ITA,JPN,0.16666666666666666
ITA,LUX,0.005376344086021506
ITA,NLD,0.022280471821756225
ITA,POL,0.006578947368421052
ITA,QAT,0.11956521739130435
ITA,RUS,0.027972027972027972
ITA,KOR,0.12962962962962962
ITA,ESP,0.0028368794326241137
ITA,CHE,0.0660377358490566
ITA,TUR,0.022222222222222223
ITA,UKR,0.013333333333333334
ITA,ARE,0.15789473684210525
ITA,GBR,0.029072450392247345
ITA,USA,0.035541195476575124
JPN,AUS,0.10476190476190476
JPN,CAN,0.1111111111111111
JPN,FIN,0.25
JPN,FRA,0.015267175572519083
JPN,DEU,0.07913669064748201
JPN,HKG,0.1966966966966967
JPN,IND,0.2
JPN,IDN,0.75
JPN,MAC,0.17647058823529413
JPN,MYS,0.028037383177570093
JPN,NLD,0.3148148148148148
JPN,PHL,0.11267605633802817
JPN,SGP,0.1276595744680851
JPN,KOR,0.015681544028950542
JPN,TWN,0.1472972972972973
JPN,THA,0.07766990291262135
JPN,GBR,0.13402061855670103
JPN,USA,0.6227390180878553
KAZ,FRA,1
KAZ,DEU,0.07575757575757576
KAZ,HKG,1
KAZ,NLD,0.375
KAZ,TUR,1
LVA,FIN,0.044642857142857144
LVA,DEU,0.03806228373702422
LVA,ISL,0.5
LVA,NLD,0.2972972972972973
LVA,NOR,0.020833333333333332
LVA,SWE,0.08695652173913043
LBN,FRA,0.025
LBN,DEU,0.07407407407407407
LBN,HKG,1
LUX,BHR,1
LUX,DEU,0.015267175572519083
LUX,HKG,1
LUX,NLD,0.014084507042253521
LUX,PRT,0.04504504504504504
LUX,SAU,1
LUX,ESP,0.08333333333333333
LUX,ARE,1
LUX,USA,0.39285714285714285
MYS,AUS,0.16945107398568018
MYS,BRN,0.014634146341463415
MYS,CHN,0.203125
MYS,HKG,0.44884488448844884
MYS,IND,0.014150943396226415
MYS,IDN,0.08849557522123894
MYS,JPN,0.05
MYS,NLD,0.06666666666666667
MYS,PHL,0.02040816326530612
MYS,SAU,0.11764705882352941
MYS,SGP,0.10476190476190476
MYS,KOR,0.05142857142857143
MYS,TWN,0.28688524590163933
MYS,THA,0.006211180124223602
MYS,ARE,0.08064516129032258
MYS,GBR,0.05555555555555555
MLT,FRA,0.08333333333333333
MLT,DEU,0.625
MLT,NLD,1
MEX,USA,0.0032
MAR,BEL,1
MAR,FRA,1
MAR,DEU,1
MAR,NLD,0.75
NLD,ARG,0.42857142857142855
NLD,AUT,0.0449438202247191
NLD,BEL,1
NLD,BRA,0.6037735849056604
NLD,CAN,0.21739130434782608
NLD,CHN,1
NLD,HRV,0.14583333333333334
NLD,CYP,0.18181818181818182
NLD,CZE,0.3208955223880597
NLD,DNK,0.10298102981029811
NLD,FIN,0.19117647058823528
NLD,FRA,0.10152990264255911
NLD,DEU,0.17236566643405443
NLD,HKG,1
NLD,HUN,0.03260869565217391
NLD,IND,0.14285714285714285
NLD,IRL,0.3316831683168317
